city,district
Akkaraipattu,Ampara
Ambagahawatta,Ampara
Ampara,Ampara
Bakmitiyawa,Ampara
Deegawapiya,Ampara
Devalahinda,Ampara
Digamadulla Weeragoda,Ampara
Dorakumbura,Ampara
Gonagolla,Ampara
Hulannuge,Ampara
Kalmunai,Ampara
Kannakipuram,Ampara
Karativu,Ampara
Kekirihena,Ampara
Koknahara,Ampara
Kolamanthalawa,Ampara
Komari,Ampara
Lahugala,Ampara
Irakkamam,Ampara
Mahaoya,Ampara
Marathamune,Ampara
Namaloya,Ampara
Navithanveli,Ampara
Nintavur,Ampara
Oluvil,Ampara
Padiyatalawa,Ampara
Pahalalanda,Ampara
Panama,Ampara
Pannalagama,Ampara
Paragahakele,Ampara
Periyaneelavanai,Ampara
Polwaga Janapadaya,Ampara
Pottuvil,Ampara
Sainthamaruthu,Ampara
Samanthurai,Ampara
Serankada,Ampara
Tempitiya,Ampara
Thambiluvil,Ampara
Tirukovil,Ampara
Uhana,Ampara
Wadinagala,Ampara
Wanagamuwa,Ampara
Angamuwa,Anuradhapura
Anuradhapura,Anuradhapura
Awukana,Anuradhapura
Bogahawewa,Anuradhapura
Dematawewa,Anuradhapura
Dimbulagala,Anuradhapura
Dutuwewa,Anuradhapura
Elayapattuwa,Anuradhapura
Ellewewa,Anuradhapura
Eppawala,Anuradhapura
Etawatunuwewa,Anuradhapura
Etaweeragollewa,Anuradhapura
Galapitagala,Anuradhapura
Galenbindunuwewa,Anuradhapura
Galkadawala,Anuradhapura
Galkiriyagama,Anuradhapura
Galkulama,Anuradhapura
Galnewa,Anuradhapura
Gambirigaswewa,Anuradhapura
Ganewalpola,Anuradhapura
Gemunupura,Anuradhapura
Getalawa,Anuradhapura
Gnanikulama,Anuradhapura
Gonahaddenawa,Anuradhapura
Habarana,Anuradhapura
Halmillawa Dambulla,Anuradhapura
Halmillawetiya,Anuradhapura
Hidogama,Anuradhapura
Horawpatana,Anuradhapura
Horiwila,Anuradhapura
Hurigaswewa,Anuradhapura
Hurulunikawewa,Anuradhapura
Ihala Puliyankulama,Anuradhapura
Kagama,Anuradhapura
Kahatagasdigiliya,Anuradhapura
Kahatagollewa,Anuradhapura
Kalakarambewa,Anuradhapura
Kalaoya,Anuradhapura
Kalawedi Ulpotha,Anuradhapura
Kallanchiya,Anuradhapura
Kalpitiya,Anuradhapura
Kalukele Badanagala,Anuradhapura
Kapugallawa,Anuradhapura
Karagahawewa,Anuradhapura
Kashyapapura,Anuradhapura
Kebithigollewa,Anuradhapura
Kekirawa,Anuradhapura
Kendewa,Anuradhapura
Kiralogama,Anuradhapura
Kirigalwewa,Anuradhapura
Kirimundalama,Anuradhapura
Kitulhitiyawa,Anuradhapura
Kurundankulama,Anuradhapura
Labunoruwa,Anuradhapura
Ihalagama,Anuradhapura
Ipologama,Anuradhapura
Madatugama,Anuradhapura
Maha Elagamuwa,Anuradhapura
Mahabulankulama,Anuradhapura
Mahailluppallama,Anuradhapura
Mahakanadarawa,Anuradhapura
Mahapothana,Anuradhapura
Mahasenpura,Anuradhapura
Mahawilachchiya,Anuradhapura
Mailagaswewa,Anuradhapura
Malwanagama,Anuradhapura
Maneruwa,Anuradhapura
Maradankadawala,Anuradhapura
Maradankalla,Anuradhapura
Medawachchiya,Anuradhapura
Megodawewa,Anuradhapura
Mihintale,Anuradhapura
Morakewa,Anuradhapura
Mulkiriyawa,Anuradhapura
Muriyakadawala,Anuradhapura
Colombo 15,Colombo
Nachchaduwa,Anuradhapura
Namalpura,Anuradhapura
Negampaha,Anuradhapura
Nochchiyagama,Anuradhapura
Nuwaragala,Anuradhapura
Padavi Maithripura,Anuradhapura
Padavi Parakramapura,Anuradhapura
Padavi Sripura,Anuradhapura
Padavi Sritissapura,Anuradhapura
Padaviya,Anuradhapura
Padikaramaduwa,Anuradhapura
Pahala Halmillewa,Anuradhapura
Pahala Maragahawe,Anuradhapura
Pahalagama,Anuradhapura
Palugaswewa,Anuradhapura
Pandukabayapura,Anuradhapura
Pandulagama,Anuradhapura
Parakumpura,Anuradhapura
Parangiyawadiya,Anuradhapura
Parasangahawewa,Anuradhapura
Pelatiyawa,Anuradhapura
Pemaduwa,Anuradhapura
Perimiyankulama,Anuradhapura
Pihimbiyagolewa,Anuradhapura
Pubbogama,Anuradhapura
Punewa,Anuradhapura
Rajanganaya,Anuradhapura
Rambewa,Anuradhapura
Rampathwila,Anuradhapura
Rathmalgahawewa,Anuradhapura
Saliyapura,Anuradhapura
Seeppukulama,Anuradhapura
Senapura,Anuradhapura
Sivalakulama,Anuradhapura
Siyambalewa,Anuradhapura
Sravasthipura,Anuradhapura
Talawa,Anuradhapura
Tambuttegama,Anuradhapura
Tammennawa,Anuradhapura
Tantirimale,Anuradhapura
Telhiriyawa,Anuradhapura
Tirappane,Anuradhapura
Tittagonewa,Anuradhapura
Udunuwara Colony,Anuradhapura
Upuldeniya,Anuradhapura
Uttimaduwa,Anuradhapura
Vellamanal,Anuradhapura
Viharapalugama,Anuradhapura
Wahalkada,Anuradhapura
Wahamalgollewa,Anuradhapura
Walagambahuwa,Anuradhapura
Walahaviddawewa,Anuradhapura
Welimuwapotana,Anuradhapura
Welioya Project,Anuradhapura
Akkarasiyaya,Badulla
Aluketiyawa,Badulla
Aluttaramma,Badulla
Ambadandegama,Badulla
Ambagasdowa,Badulla
Arawa,Badulla
Arawakumbura,Badulla
Arawatta,Badulla
Atakiriya,Badulla
Badulla,Badulla
Baduluoya,Badulla
Ballaketuwa,Badulla
Bambarapana,Badulla
Bandarawela,Badulla
Beramada,Badulla
Bibilegama,Badulla
Boragas,Badulla
Boralanda,Badulla
Bowela,Badulla
Central Camp,Badulla
Damanewela,Badulla
Dambana,Badulla
Dehiattakandiya,Badulla
Demodara,Badulla
Diganatenna,Badulla
Dikkapitiya,Badulla
Dimbulana,Badulla
Divulapelessa,Badulla
Diyatalawa,Badulla
Dulgolla,Badulla
Ekiriyankumbura,Badulla
Ella,Badulla
Ettampitiya,Badulla
Galauda,Badulla
Galporuyaya,Badulla
Gawarawela,Badulla
Girandurukotte,Badulla
Godunna,Badulla
Gurutalawa,Badulla
Haldummulla,Badulla
Hali Ela,Badulla
Hangunnawa,Badulla
Haputale,Badulla
Hebarawa,Badulla
Heeloya,Badulla
Helahalpe,Badulla
Helapupula,Badulla
Hopton,Badulla
Idalgashinna,Badulla
Kahataruppa,Badulla
Kalugahakandura,Badulla
Kalupahana,Badulla
Kebillawela,Badulla
Kendagolla,Badulla
Keselpotha,Badulla
Ketawatta,Badulla
Kiriwanagama,Badulla
Koslanda,Badulla
Kuruwitenna,Badulla
Kuttiyagolla,Badulla
Landewela,Badulla
Liyangahawela,Badulla
Lunugala,Badulla
Lunuwatta,Badulla
Madulsima,Badulla
Mahiyanganaya,Badulla
Makulella,Badulla
Malgoda,Badulla
Mapakadawewa,Badulla
Maspanna,Badulla
