latitude,longitude,type,urgency,Baby_Items,Blankets/Bedding,Boats,Cleaning,Clothing,Construction/Repairs,Cooked_Food,Cooking,Counseling/Mental_Health,Driving,Dry_Rations,Evacuation,Food,General_Help,Heavy_Lifting,Hygiene_Products,Medical/Healthcare,Medicine,Other,Search_&_Rescue,Technical_Advisory,Translation/Communication,Transportation,Water,district
7.2167011,80.59843169,Home,emergency,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,kandy
8.3289375,80.4003304,Home,medium,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,anuradhapura
7.7516076,81.2270988,Home,medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,kalutara
6.8723185,80.0003875,Other,medium,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,colombo
6.9303512,79.9007066,Home,medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,colombo
6.9369681,79.9014161,Home,medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,colombo
7.2703592,80.6085798,School,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,kandy
7.17234913,80.57856405,Home,medium,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,kandy
6.94374613,79.89063203,Home,high,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,colombo
6.94196743,79.89790884,Home,high,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,colombo
7.2144794,80.5333251,School,high,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,matara
7.2515853,80.429001,Temple,high,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,kegalle
6.87935973,79.88336588,Home,high,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,colombo
7.2869922,80.6933288,School,medium,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,kandy
7.0154868,80.8590474,Other,medium,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,nuwara eliya
7.4172376,80.6840121,Home,medium,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,matale
7.0214596,79.8995175,Other,high,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,gampaha
6.934441,79.921358,Home,medium,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,colombo
6.9240186,80.0175598,Home,high,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,colombo
6.9240186,80.0175598,Home,high,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,colombo
6.9627848,79.9546863,Home,high,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,gampaha
8.34021216,80.41125298,Home,medium,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anuradhapura
7.33847473,80.60273543,Home,medium,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,kandy
7.15004734,80.77870547,Home,medium,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,nuwara eliya
6.951826,79.9184698,Temple,medium,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gampaha
7.1152646,80.0561117,Other,medium,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,gampaha
7.34987496,80.71063371,Private Land,high,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,kandy
6.83755873,79.95603006,Home,medium,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,colombo
7.40758881,79.86653014,Home,high,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,puttalam
7.2306686,80.6050328,Other,medium,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,kandy
